experiment,error_type,error_prob,num_samples,mean_fidelity,std_dev_fidelity,time,
bb1, x_error,0.01,0.8540049633329464,0.3525837931269736,1024,24.026996850967407,0.02346386411227286,
bb2, x_error,0.001,0.9365234375,0.2330672336219392,1024,25.66711711883545,0.025065544061362743,
bb5, z_error,1e-06,1.0000068946678822,0.0,1,988.9359962940216,988.9359962940216,
bb5, z_error,1e-05,1.0000068946678822,0.0,1,990.2919569015504,990.2919569015504,
bb5, z_error,0.0001,1.0000068946678822,0.0,1,990.1227631568908,990.1227631568908,
bb5, z_error,0.001,1.0000068946678822,0.0,1,1003.9560921192168,1003.9560921192168,
bb5, z_error,0.01,0.0625004309167427,0.0,1,1006.5418646335602,1006.5418646335602,
bb6, z_error,1e-06,1.0,0.0,1,22739.191864013672,22739.191864013672,
bb6, z_error,1e-05,1.0,0.0,1,22455.03870034218,22455.03870034218,
bb6, z_error,0.0001,1.0,0.0,1,22462.707844018936,22462.707844018936,
bb6, z_error,0.001,0.66015625,0.0,1,22485.77086019516,22485.77086019516,
bb6, z_error,0.01,0.1181640625,0.0,1,22669.121826410294,22669.121826410294,
modified1, x_error,0.001,0.9960949829612412,0.0623778874558377,1024,24.09038782119751,0.023525769356638193,
modified2, x_error,1e-06,1.0,0.0,1225,51.964338064193726,0.042419867807505084,
modified2, x_error,1e-05,0.996734693877551,0.0011532172892857126,1225,51.38899254798889,0.04195019799835828,
modified2, x_error,0.0001,0.9861224489795918,0.00013239662195177368,1225,51.38741421699524,0.041948909564894075,
modified2, x_error,0.001,0.8950644730991552,0.0041963664485411365,2249,82.84551310539246,0.036836599869005095,
modified2, x_error,0.01,0.3224489795918367,0.0039036229650479775,1225,52.17791676521301,0.04259421776752083,
modified2, z_error,1e-06,1.0,0.0,2112,89.91605520248413,0.04257388977390347,
modified2, z_error,1e-05,1.0,0.0,2112,88.56432104110718,0.04193386412931211,
modified2, z_error,0.0001,0.9955018939393939,3.387982957425928e-05,2112,88.66294932365417,0.041980563126730194,
modified2, z_error,0.001,0.953125,0.0026479131463999993,2112,88.69687151908875,0.04199662477229581,
modified2, z_error,0.01,0.6176609848484849,0.0016324063160598724,2112,89.88931894302368,0.04256123056014379,
modified3, x_error,1e-06,0.9999955809488822,0.0,1024,498.2717180252075,0.4865934746339917,
modified3, x_error,1e-05,0.9951127900262802,0.069706009053061,1024,615.2394845485687,0.6008198091294616,
modified3, x_error,0.0001,0.9716753935977908,0.165885590667589,1024,511.80242800712585,0.49980705860070884,
modified3, x_error,0.001,0.727688434684024,0.009833729210952498,2048,767.3933465480804,0.3747037824941799,
modified3, x_error,0.01,0.0461423742185885,0.2074891717649239,1024,566.0463240146637,0.55277961329557,
modified3, z_error,1e-06,0.9999955809488822,0.0,1088,534.1696827411652,0.49096478193121795,
modified3, z_error,1e-05,0.997985019980752,0.0012157136894568401,1088,541.8501970767975,0.4980240781955859,
modified3, z_error,0.0001,0.9912065572881987,0.0023667540345638067,1088,534.1646857261658,0.4909601890865494,
modified3, z_error,0.001,0.9002717569296232,0.007623937809661185,1088,534.0967388153076,0.49089773788171653,
modified3, z_error,0.01,0.40498442358051573,0.010958610312510305,1088,542.355795621872,0.49848878274069114,
modified4, x_error,1e-06,0.0,0.0,1,0.0123622417449951,0.0123622417449951,
modified4, x_error,1e-05,0.0,0.0,1,0.0116732120513916,0.0116732120513916,
modified4, x_error,0.0001,0.0,0.0,1,0.0429410934448242,0.0429410934448242,
modified4, x_error,0.001,0.3333333333333333,0.36851386559504445,3,133.0091269016266,44.33637563387553,
modified4, x_error,0.01,0.0,0.0,1,0.0410139560699462,0.0410139560699462,
modified4, z_error,1e-06,1.0,0.0,3,429.85839104652405,143.28613034884134,
modified4, z_error,1e-05,1.0,0.0,3,429.7471022605896,143.2490340868632,
modified4, z_error,0.0001,1.0,0.0,3,429.986394405365,143.32879813512167,
modified4, z_error,0.001,0.8541666666666666,0.140678573471409,3,430.272917509079,143.42430583635965,
modified4, z_error,0.01,0.140625,0.12058163440406484,3,436.24187660217285,145.41395886739096,
modified5, z_error,1e-06,1.0000068946678822,0.0,1,5642.282208442688,5642.282208442688,
modified5, z_error,1e-05,1.0000068946678822,0.0,1,5630.648982524872,5630.648982524872,
modified5, z_error,0.0001,0.4726595088078665,0.0,1,5630.485424280167,5630.485424280167,
modified5, z_error,0.001,0.562503878250684,0.0,1,5627.240750789642,5627.240750789642,
modified5, z_error,0.01,0.0351564923906677,0.0,1,5666.589539527893,5666.589539527893,
