experiment, error_type, error_prob, num_samples, mean_fidelity, std_dev_fidelity, time 
modified2, z_error, 1e-05, 1024, 1.0, 0.0, 42.024404764175415
modified2, x_error, 0.0001, 1024, 0.9853515625, 0.12014100373647872, 42.43658256530762
modified2, x_error, 1e-05, 1024, 0.998046875, 0.044150994357255134, 42.51772427558899
modified2, z_error, 0.0001, 1024, 0.99462890625, 0.06514301412606505, 42.692057371139526
modified2, x_error, 1e-06, 1024, 1.0, 0.0, 43.01543307304382
modified2, x_error, 0.01, 1024, 0.318359375, 0.46505296631094545, 43.14807367324829
modified2, z_error, 0.01, 1024, 0.6142578125, 0.4197072034856143, 43.470362186431885
modified2, z_error, 0.0001, 1024, 0.99609375, 0.056201150663820934, 43.39660096168518
modified2, z_error, 1e-06, 1024, 1.0, 0.0, 43.36218976974487
modified2, z_error, 0.01, 1024, 0.62548828125, 0.4186797467413738, 43.74191617965698
modified2, z_error, 1e-05, 1024, 1.0, 0.0, 43.93897223472595
modified2, z_error, 1e-06, 1024, 1.0, 0.0, 43.95182156562805
modified2, z_error, 0.001, 1024, 0.944091796875, 0.2101821089367117, 44.34825420379639
modified3, x_error, 1e-06, 1024, 0.9999955809488822, 0.0, 498.2717180252075
modified3, z_error, 0.001, 1024, 0.900020436808607, 0.2506225031572478, 505.2128882408142
modified3, z_error, 0.0001, 1024, 0.9910844875151336, 0.07931633213916384, 505.3423638343811
modified3, z_error, 1e-06, 1024, 0.9999955809488822, 0.0, 505.3993754386902
modified3, x_error, 0.0001, 1024, 0.9716753935977908, 0.165885590667589, 511.80242800712585
modified3, z_error, 0.01, 1024, 0.4036237046395847, 0.36114275312599364, 513.1342947483063
modified3, z_error, 1e-05, 1024, 0.9978593599202438, 0.0413306241680738, 513.0728945732117
modified3, x_error, 0.001, 1024, 0.7249113473467941, 0.4462861846513244, 515.5532093048096
modified3, x_error, 0.01, 1024, 0.04614237421858856, 0.20748917176492399, 566.0463240146637
modified3, x_error, 1e-05, 1024, 0.9951127900262802, 0.06970600905306108, 615.2394845485687
modified4, x_error, 0.001, 1, 0.0, 0.0, 0.03968477249145508
modified4, x_error, 0.0001, 1, 0.0, 0.0, 0.04294109344482422
modified4, x_error, 0.01, 1, 0.0, 0.0, 0.04101395606994629
modified4, x_error, 1e-06, 1, 0.0, 0.0, 0.012362241744995117
modified4, x_error, 1e-05, 1, 0.0, 0.0, 0.011673212051391602
modified2, x_error, 0.0001, 1, 1.0, 0.0, 0.05617260932922363
modified2, x_error, 1e-06, 1, 1.0, 0.0, 0.05519437789916992
modified2, x_error, 1e-05, 1, 1.0, 0.0, 0.05566692352294922
modified2, x_error, 0.01, 1, 0.0, 0.0, 0.06036686897277832
modified2, x_error, 0.001, 1, 0.0, 0.0, 0.056104183197021484
modified2, x_error, 0.01, 100, 0.34, 0.4737087712930804, 4.7083420753479
modified2, x_error, 1e-05, 100, 1.0, 0.0, 4.70705509185791
modified2, x_error, 1e-06, 100, 1.0, 0.0, 4.753105640411377
modified2, x_error, 0.0001, 100, 0.98, 0.13999999999999999, 4.753473281860352
modified2, x_error, 0.001, 100, 0.83, 0.375632799419859, 4.984759569168091
modified2, x_error, 1e-05, 100, 0.98, 0.13999999999999999, 4.108546257019043
modified2, x_error, 0.001, 100, 0.86, 0.34698703145794946, 4.140530109405518
modified2, x_error, 1e-06, 100, 1.0, 0.0, 4.1406049728393555
modified2, x_error, 0.0001, 100, 1.0, 0.0, 4.141185760498047
modified2, x_error, 0.01, 100, 0.35, 0.47696960070847283, 4.261134147644043
modified2, z_error, 0.001, 64, 0.97265625, 0.15383881771496263, 2.574207305908203
modified2, z_error, 0.0001, 64, 1.0, 0.0, 2.5742909908294678
modified2, z_error, 0.01, 64, 0.546875, 0.42129589883477386, 2.6770405769348145
modified2, z_error, 1e-05, 64, 1.0, 0.0, 2.6009440422058105
modified2, z_error, 1e-06, 64, 1.0, 0.0, 2.602043867111206
modified3, z_error, 0.0001, 64, 0.9931596736572395, 0.054258332037539415, 28.822321891784668
modified3, z_error, 1e-06, 64, 0.9999955809488822, 0.0, 28.770307302474976
modified3, z_error, 0.001, 64, 0.9042928788658837, 0.26469591126704933, 28.883850574493408
modified3, z_error, 1e-05, 64, 0.9999955809488822, 0.0, 28.777302503585815
modified3, z_error, 0.01, 64, 0.4267559266354116, 0.3658628026176353, 29.221500873565674
modified4, z_error, 0.0001, 1, 1.0, 0.0, 171.93174958229065
modified4, z_error, 1e-05, 1, 1.0, 0.0, 171.94970798492432
modified4, z_error, 1e-06, 1, 1.0, 0.0, 171.99342226982117
modified4, z_error, 0.001, 1, 0.5625, 0.0, 172.24361419677734
modified4, z_error, 0.01, 1, 0.390625, 0.0, 173.26789450645447
modified4, z_error, 1e-05, 1, 1.0, 0.0, 171.76920628547668
modified4, z_error, 0.001, 1, 1.0, 0.0, 171.9676456451416
modified4, z_error, 1e-06, 1, 1.0, 0.0, 171.99100041389465
modified4, z_error, 0.0001, 1, 1.0, 0.0, 172.0191502571106
modified4, z_error, 0.01, 1, 0.015625, 0.0, 174.4884889125824
modified4, z_error, 1e-06, 1, 1.0, 0.0, 85.87396836280823
modified4, z_error, 1e-05, 1, 1.0, 0.0, 86.0281879901886
modified4, z_error, 0.0001, 1, 1.0, 0.0, 86.03549456596375
modified4, z_error, 0.001, 1, 1.0, 0.0, 86.06165766716003
modified4, z_error, 0.01, 1, 0.015625, 0.0, 88.48549318313599
bb5, z_error, 1e-06, 1, 1.0000068946678822, 0.0, 988.9359962940216
bb5, z_error, 0.0001, 1, 1.0000068946678822, 0.0, 990.1227631568909
bb5, z_error, 1e-05, 1, 1.0000068946678822, 0.0, 990.2919569015503
bb5, z_error, 0.001, 1, 1.0000068946678822, 0.0, 1003.9560921192169
bb5, z_error, 0.01, 1, 0.06250043091674275, 0.0, 1006.5418646335602
modified5, z_error, 0.001, 1, 0.562503878250684, 0.0, 5627.240750789642
modified5, z_error, 0.0001, 1, 0.47265950880786656, 0.0, 5630.485424280167
modified5, z_error, 1e-05, 1, 1.0000068946678822, 0.0, 5630.648982524872
modified5, z_error, 1e-06, 1, 1.0000068946678822, 0.0, 5642.282208442688
modified5, z_error, 0.01, 1, 0.035156492390667794, 0.0, 5666.589539527893
bb6, z_error, 1e-05, 1, 1.0, 0.0, 22455.03870034218
bb6, z_error, 0.0001, 1, 1.0, 0.0, 22462.707844018936
bb6, z_error, 0.001, 1, 0.66015625, 0.0, 22485.77086019516
bb6, z_error, 0.01, 1, 0.1181640625, 0.0, 22669.121826410294
bb6, z_error, 1e-06, 1, 1.0, 0.0, 22739.191864013672
modified2, x_error, 0.001, 1024, 0.896484375, 0.3046311546458428, 41.03874731063843
modified2, z_error, 0.001, 1024, 0.9609375, 0.1738171520413046, 41.774410009384155
bb2, x_error, 0.001, 1024, 0.9365234375, 0.2330672336219392, 25.66711711883545
modified2, x_error, 0.001, 1024, 0.904296875, 0.29418367878798846, 32.6253719329834
modified1, x_error, 0.001, 1024, 0.9960949829612411, 0.06237788745583774, 24.09038782119751
modified3, x_error, 0.001, 1024, 0.7304655220212538, 0.4437143396319183, 251.84013724327087
modified4, x_error, 0.001, 1, 0.0, 0.0, 88.85626125335693
modified4, x_error, 0.001, 1, 1.0, 0.0, 44.1131808757782
